SOURCE,PATHWAY,link
KEGG,Mucin type O-glycan biosynthesis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Mucin type O-glycan biosynthesis
KEGG,Other glycan degradation,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Other glycan degradation
KEGG,N-Glycan biosynthesis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=N-Glycan biosynthesis
KEGG,Mannose type O-glycan biosynthesis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Mannose type O-glycan biosynthesis
KEGG,Fatty acid biosynthesis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Fatty acid biosynthesis
KEGG,Salivary secretion,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Salivary secretion
KEGG,Carbohydrate digestion and absorption,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Carbohydrate digestion and absorption
KEGG,Pancreatic secretion,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Pancreatic secretion
KEGG,Fat digestion and absorption,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Fat digestion and absorption
KEGG,Protein digestion and absorption,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Protein digestion and absorption
KEGG,Vitamin digestion and absorption,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Vitamin digestion and absorption
KEGG,Lysine degradation,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Lysine degradation
