SOURCE,PATHWAY,link
ACSN2,INTEGRINS,https://www.google.com/search?q=ACSN2+pathway+INTEGRINS
ACSN2,LYSOSOME_ENDOSOME,https://www.google.com/search?q=ACSN2+pathway+LYSOSOME%20ENDOSOME
ACSN2,MAPK,https://www.google.com/search?q=ACSN2+pathway+MAPK
ACSN2,MARKERS_DC,https://www.google.com/search?q=ACSN2+pathway+MARKERS%20DC
ACSN2,MARKERS_MACROPHAGE,https://www.google.com/search?q=ACSN2+pathway+MARKERS%20MACROPHAGE
ACSN2,MARKERS_MAST,https://www.google.com/search?q=ACSN2+pathway+MARKERS%20MAST
ACSN2,MARKERS_MDSC,https://www.google.com/search?q=ACSN2+pathway+MARKERS%20MDSC
ACSN2,MARKERS_NEUTROPHIL,https://www.google.com/search?q=ACSN2+pathway+MARKERS%20NEUTROPHIL
ACSN2,MARKERS_NK,https://www.google.com/search?q=ACSN2+pathway+MARKERS%20NK
ACSN2,MATRIX_REGULATION,https://www.google.com/search?q=ACSN2+pathway+MATRIX%20REGULATION
ACSN2,METABOLIC,https://www.google.com/search?q=ACSN2+pathway+METABOLIC
ACSN2,MIRNA_TF_IMMUNOSTIMULATORY,https://www.google.com/search?q=ACSN2+pathway+MIRNA%20TF%20IMMUNOSTIMULATORY
ACSN2,MIRNA_TF_IMMUNOSUPPRESSIVE,https://www.google.com/search?q=ACSN2+pathway+MIRNA%20TF%20IMMUNOSUPPRESSIVE
ACSN2,MITOCHONDRIAL_GENES,https://www.google.com/search?q=ACSN2+pathway+MITOCHONDRIAL%20GENES
ACSN2,MITOCHONDRIAL_METABOLISM,https://www.google.com/search?q=ACSN2+pathway+MITOCHONDRIAL%20METABOLISM
ACSN2,MITOCHONDRIAL_PERMEABILITY_TRANSITION,https://www.google.com/search?q=ACSN2+pathway+MITOCHONDRIAL%20PERMEABILITY%20TRANSITION
ACSN2,MITOCHONDRIA_OXIDATIVE_STRESS,https://www.google.com/search?q=ACSN2+pathway+MITOCHONDRIA%20OXIDATIVE%20STRESS
ACSN2,MMR,https://www.google.com/search?q=ACSN2+pathway+MMR
ACSN2,MOMP_REGULATION,https://www.google.com/search?q=ACSN2+pathway+MOMP%20REGULATION
ACSN2,MOTILITY,https://www.google.com/search?q=ACSN2+pathway+MOTILITY
ACSN2,M_CC_PHASE,https://www.google.com/search?q=ACSN2+pathway+M%20CC%20PHASE
